Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,247418,250410,"1","L",0,112540,112540,"",0,481334,481334,"",0,41106,41106,"",
1,252008,254490,"2","L",,,,,,,,,,,,,
2,256972,259080,"3","R",,,,,,,,,,,,,
3,260848,263568,"4","L",,,,,,,,,,,,,
4,265132,267274,"5","L",,,,,,,,,,,,,
5,269518,271830,"6","L",,,,,,,,,,,,,
6,273836,276624,"7","R",,,,,,,,,,,,,
7,314194,316506,"8","L",,,,,,,,,,,,,
8,318648,321980,"9","L",,,,,,,,,,,,,
9,323408,326230,"10","L",,,,,,,,,,,,,
10,330072,333166,"11","L",,,,,,,,,,,,,
11,334968,337620,"12","R",,,,,,,,,,,,,
12,340000,344352,"13","L",,,,,,,,,,,,,
13,347106,349928,"14","L",,,,,,,,,,,,,
14,407184,423062,"15","L",,,,,,,,,,,,,
15,424932,429284,"16","L",,,,,,,,,,,,,
16,430814,433126,"17","L",,,,,,,,,,,,,
17,435166,438396,"18","L",,,,,,,,,,,,,
18,440742,444108,"19","R",,,,,,,,,,,,,
19,446420,448970,"20","L",,,,,,,,,,,,,
20,451146,454036,"21","L",,,,,,,,,,,,,
21,505988,509354,"22","R",,,,,,,,,,,,,
22,511224,514692,"23","L",,,,,,,,,,,,,
23,516698,520506,"24","L",,,,,,,,,,,,,
24,522410,525334,"25","L",,,,,,,,,,,,,
25,527034,530808,"26","L",,,,,,,,,,,,,
26,532304,539138,"27","R",,,,,,,,,,,,,
27,540736,544102,"28","L",,,,,,,,,,,,,
