Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,279276,281282,"1","L",0,157488,157488,"",0,492600,492600,"",0,34544,34544,"",
1,282982,286178,"2","R",,,,,,,,,,,,,
2,287606,290666,"3","R",,,,,,,,,,,,,
3,292297,296378,"4","L",,,,,,,,,,,,,
4,298112,300968,"5","R",,,,,,,,,,,,,
5,302464,305456,"6","L",,,,,,,,,,,,,
6,307292,310046,"7","R",,,,,,,,,,,,,
7,353974,362406,"8","L",,,,,,,,,,,,,
8,364174,367744,"9","R",,,,,,,,,,,,,
9,369750,371552,"10","L",,,,,,,,,,,,,
10,373660,376754,"11","L",,,,,,,,,,,,,
11,379134,381378,"12","R",,,,,,,,,,,,,
12,384064,387532,"13","L",,,,,,,,,,,,,
13,390489,394570,"14","R",,,,,,,,,,,,,
14,452166,455192,"15","R",,,,,,,,,,,,,
15,457028,459985,"16","L",,,,,,,,,,,,,
16,461822,468078,"17","L",,,,,,,,,,,,,
17,469913,473722,"18","R",,,,,,,,,,,,,
18,475286,478278,"19","R",,,,,,,,,,,,,
19,480385,483820,"20","L",,,,,,,,,,,,,
20,485758,488036,"21","R",,,,,,,,,,,,,
21,542435,545224,"22","R",,,,,,,,,,,,,
22,547196,551174,"23","L",,,,,,,,,,,,,
23,553724,558076,"24","L",,,,,,,,,,,,,
24,560659,563516,"25","R",,,,,,,,,,,,,
25,565555,568786,"26","R",,,,,,,,,,,,,
26,570860,573682,"27","L",,,,,,,,,,,,,
27,575960,579292,"28","L",,,,,,,,,,,,,
