Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,438022,443360,"1","L",0,297636,297636,"",0,593767,593767,"",0,51918,51918,"",
1,445536,446930,"2","R",,,,,,,,,,,,,
2,448392,450534,"3","L",,,,,,,,,,,,,
3,452098,457198,"4","L",,,,,,,,,,,,,
4,458694,461312,"5","R",,,,,,,,,,,,,
5,463284,465052,"6","L",,,,,,,,,,,,,
6,466684,469370,"7","L",,,,,,,,,,,,,
7,534378,543320,"8","R",,,,,,,,,,,,,
8,544646,547128,"9","L",,,,,,,,,,,,,
9,548386,553486,"10","R",,,,,,,,,,,,,
10,554676,559640,"11","R",,,,,,,,,,,,,
11,561034,566372,"12","L",,,,,,,,,,,,,
12,567800,570384,"13","L",,,,,,,,,,,,,
13,571642,574158,"14","L",,,,,,,,,,,,,
14,664020,666264,"15","R",,,,,,,,,,,,,
15,667828,676770,"16","L",,,,,,,,,,,,,
16,678436,697034,"17","R",,,,,,,,,,,,,
17,699482,704004,"18","R",,,,,,,,,,,,,
18,705772,708832,"19","R",,,,,,,,,,,,,
19,710430,712606,"20","L",,,,,,,,,,,,,
20,714136,715836,"21","L",,,,,,,,,,,,,
21,759322,762484,"22","L",,,,,,,,,,,,,
22,764184,780232,"23","R",,,,,,,,,,,,,
23,781864,787202,"24","R",,,,,,,,,,,,,
24,803658,809506,"25","L",,,,,,,,,,,,,
25,810934,813382,"26","R",,,,,,,,,,,,,
26,815490,818822,"27","L",,,,,,,,,,,,,
27,820420,822766,"28","L",,,,,,,,,,,,,
