Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,293216,299200,"1","L",0,458116,458116,"",0,452160,452160,"",0,293760,293760,"",
1,300662,303076,"2","R",,,,,,,,,,,,,
2,304844,318580,"3","R",,,,,,,,,,,,,
3,320212,324088,"4","R",,,,,,,,,,,,,
4,325652,328848,"5","L",,,,,,,,,,,,,
5,330208,332758,"6","R",,,,,,,,,,,,,
6,334356,338062,"7","R",,,,,,,,,,,,,
7,385322,389096,"8","R",,,,,,,,,,,,,
8,390762,392292,"9","R",,,,,,,,,,,,,
9,394128,395760,"10","R",,,,,,,,,,,,,
10,397426,399772,"11","R",,,,,,,,,,,,,
11,401540,403206,"12","R",,,,,,,,,,,,,
12,405008,406980,"13","R",,,,,,,,,,,,,
13,408510,410176,"14","L",,,,,,,,,,,,,
14,467296,472430,"15","L",,,,,,,,,,,,,
15,474062,480080,"16","L",,,,,,,,,,,,,
16,481610,487118,"17","L",,,,,,,,,,,,,
17,488444,492116,"18","L",,,,,,,,,,,,,
18,496264,500684,"19","R",,,,,,,,,,,,,
19,502214,505036,"20","L",,,,,,,,,,,,,
20,506532,514964,"21","R",,,,,,,,,,,,,
21,560456,565080,"22","R",,,,,,,,,,,,,
22,566712,569262,"23","L",,,,,,,,,,,,,
23,570962,577116,"24","L",,,,,,,,,,,,,
24,579020,583338,"25","L",,,,,,,,,,,,,
25,585140,588064,"26","L",,,,,,,,,,,,,
26,591328,593674,"27","L",,,,,,,,,,,,,
27,595408,597312,"28","L",,,,,,,,,,,,,
