Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,538968,541348,"1","L",0,767516,767516,"",0,463175,463175,"",0,398752,398752,"",
1,542878,547128,"2","R",,,,,,,,,,,,,
2,549066,552330,"3","R",,,,,,,,,,,,,
3,553894,555730,"4","R",,,,,,,,,,,,,
4,557158,559062,"5","L",,,,,,,,,,,,,
5,560626,562190,"6","L",,,,,,,,,,,,,
6,563380,569568,"7","R",,,,,,,,,,,,,
7,614006,616726,"8","R",,,,,,,,,,,,,
8,618732,621078,"9","R",,,,,,,,,,,,,
9,622608,629476,"10","L",,,,,,,,,,,,,
10,631142,634474,"11","L",,,,,,,,,,,,,
11,635970,642362,"12","R",,,,,,,,,,,,,
12,643484,646544,"13","L",,,,,,,,,,,,,
13,648176,650420,"14","R",,,,,,,,,,,,,
14,701386,705568,"15","L",,,,,,,,,,,,,
15,707030,709648,"16","L",,,,,,,,,,,,,
16,711178,713796,"17","L",,,,,,,,,,,,,
17,715190,718046,"18","L",,,,,,,,,,,,,
18,719372,721548,"19","L",,,,,,,,,,,,,
19,723214,726002,"20","R",,,,,,,,,,,,,
20,727872,729878,"21","L",,,,,,,,,,,,,
21,795974,798694,"22","R",,,,,,,,,,,,,
22,800462,803080,"23","L",,,,,,,,,,,,,
23,804746,806276,"24","R",,,,,,,,,,,,,
24,808214,810084,"25","R",,,,,,,,,,,,,
25,811614,812974,"26","R",,,,,,,,,,,,,
26,815286,816476,"27","L",,,,,,,,,,,,,
27,818176,819774,"28","L",,,,,,,,,,,,,
