Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,250274,253164,"1","L",0,271898,271898,"",0,521399,521399,"",0,183906,183906,"",
1,254864,256666,"2","R",,,,,,,,,,,,,
2,258638,259852,"3","R",,,,,,,,,,,,,
3,263874,268600,"4","L",,,,,,,,,,,,,
4,270776,273088,"5","R",,,,,,,,,,,,,
5,274958,277712,"6","R",,,,,,,,,,,,,
6,279990,283560,"7","R",,,,,,,,,,,,,
7,329970,335784,"8","R",,,,,,,,,,,,,
8,337586,342142,"9","L",,,,,,,,,,,,,
9,343876,348466,"10","R",,,,,,,,,,,,,
10,350064,352716,"11","R",,,,,,,,,,,,,
11,354586,360740,"12","R",,,,,,,,,,,,,
12,362542,365432,"13","R",,,,,,,,,,,,,
13,367200,370294,"14","R",,,,,,,,,,,,,
14,453696,455090,"15","R",,,,,,,,,,,,,
15,457334,459340,"16","L",,,,,,,,,,,,,
16,460904,463862,"17","R",,,,,,,,,,,,,
17,465256,469064,"18","L",,,,,,,,,,,,,
18,470254,473042,"19","L",,,,,,,,,,,,,
19,475762,478448,"20","R",,,,,,,,,,,,,
20,480522,482528,"21","R",,,,,,,,,,,,,
21,540838,544442,"22","R",,,,,,,,,,,,,
22,546210,549406,"23","R",,,,,,,,,,,,,
23,551480,553622,"24","R",,,,,,,,,,,,,
24,555628,559912,"25","L",,,,,,,,,,,,,
25,562156,565658,"26","L",,,,,,,,,,,,,
26,568004,570962,"27","R",,,,,,,,,,,,,
27,573886,577592,"28","R",,,,,,,,,,,,,
