Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,256700,259318,"1","L",0,151232,151232,"",0,439671,439671,"",0,29206,29206,"",
1,261052,262990,"2","R",,,,,,,,,,,,,
2,264996,267716,"3","L",,,,,,,,,,,,,
3,269756,271762,"4","L",,,,,,,,,,,,,
4,273564,275842,"5","R",,,,,,,,,,,,,
5,278800,281044,"6","R",,,,,,,,,,,,,
6,283390,285804,"7","L",,,,,,,,,,,,,
7,323612,326060,"8","R",,,,,,,,,,,,,
8,328678,331534,"9","L",,,,,,,,,,,,,
9,333880,337212,"10","R",,,,,,,,,,,,,
10,338912,342040,"11","R",,,,,,,,,,,,,
11,344182,348636,"12","L",,,,,,,,,,,,,
12,350540,354892,"13","L",,,,,,,,,,,,,
13,356490,359312,"14","L",,,,,,,,,,,,,
14,410754,415888,"15","R",,,,,,,,,,,,,
15,419492,421260,"16","L",,,,,,,,,,,,,
16,423402,424728,"17","R",,,,,,,,,,,,,
17,426938,430984,"18","L",,,,,,,,,,,,,
18,432650,435982,"19","L",,,,,,,,,,,,,
19,438736,442068,"20","L",,,,,,,,,,,,,
20,444108,448732,"21","L",,,,,,,,,,,,,
21,499562,505920,"22","R",,,,,,,,,,,,,
22,508674,515474,"23","R",,,,,,,,,,,,,
23,518228,520200,"24","R",,,,,,,,,,,,,
24,522546,525878,"25","L",,,,,,,,,,,,,
25,527612,529346,"26","R",,,,,,,,,,,,,
26,531182,533902,"27","L",,,,,,,,,,,,,
27,535840,540328,"28","L",,,,,,,,,,,,,
