Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,209848,212670,"1","L",0,83402,83402,"",0,472230,472230,"",0,32368,32368,"",
1,214302,217464,"2","L",,,,,,,,,,,,,
2,219266,221476,"3","R",,,,,,,,,,,,,
3,223108,226032,"4","L",,,,,,,,,,,,,
4,227732,229806,"5","L",,,,,,,,,,,,,
5,231880,233682,"6","L",,,,,,,,,,,,,
6,235416,238068,"7","L",,,,,,,,,,,,,
7,289510,291788,"8","L",,,,,,,,,,,,,
8,293692,297262,"9","L",,,,,,,,,,,,,
9,298894,301954,"10","L",,,,,,,,,,,,,
10,303756,306374,"11","L",,,,,,,,,,,,,
11,308686,310794,"12","R",,,,,,,,,,,,,
12,312698,315622,"13","L",,,,,,,,,,,,,
13,317050,319328,"14","L",,,,,,,,,,,,,
14,391102,393414,"15","R",,,,,,,,,,,,,
15,395352,398004,"16","L",,,,,,,,,,,,,
16,399466,404838,"17","L",,,,,,,,,,,,,
17,406402,408816,"18","L",,,,,,,,,,,,,
18,410142,413100,"19","L",,,,,,,,,,,,,
19,414698,418506,"20","L",,,,,,,,,,,,,
20,419764,423062,"21","R",,,,,,,,,,,,,
21,488376,490790,"22","R",,,,,,,,,,,,,
22,492966,495312,"23","L",,,,,,,,,,,,,
23,497012,499120,"24","L",,,,,,,,,,,,,
24,500412,503948,"25","L",,,,,,,,,,,,,
25,504900,507348,"26","L",,,,,,,,,,,,,
26,508742,511224,"27","L",,,,,,,,,,,,,
27,512822,515270,"28","L",,,,,,,,,,,,,
