Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,284580,290428,"1","L",0,113492,113492,"",0,738758,738758,"",0,27506,27506,"",
1,293216,296854,"2","R",,,,,,,,,,,,,
2,300084,305694,"3","L",,,,,,,,,,,,,
3,307598,323204,"4","R",,,,,,,,,,,,,
4,325176,347208,"5","L",,,,,,,,,,,,,
5,348942,360502,"6","L",,,,,,,,,,,,,
6,362372,367880,"7","L",,,,,,,,,,,,,
7,435234,446658,"8","L",,,,,,,,,,,,,
8,448732,477394,"9","R",,,,,,,,,,,,,
9,479264,490144,"10","L",,,,,,,,,,,,,
10,491776,513842,"11","R",,,,,,,,,,,,,
11,515984,525640,"12","R",,,,,,,,,,,,,
12,527408,539036,"13","R",,,,,,,,,,,,,
13,541008,548590,"14","L",,,,,,,,,,,,,
14,612850,619208,"15","R",,,,,,,,,,,,,
15,623526,628524,"16","L",,,,,,,,,,,,,
16,630258,637704,"17","L",,,,,,,,,,,,,
17,639506,644368,"18","L",,,,,,,,,,,,,
18,644844,654704,"19","R",,,,,,,,,,,,,
19,656370,666842,"20","L",,,,,,,,,,,,,
20,668712,674696,"21","R",,,,,,,,,,,,,
21,723894,731782,"22","L",,,,,,,,,,,,,
22,733448,747660,"23","L",,,,,,,,,,,,,
23,750074,757146,"24","L",,,,,,,,,,,,,
24,758914,765068,"25","L",,,,,,,,,,,,,
25,766870,778158,"26","R",,,,,,,,,,,,,
26,780164,807840,"27","L",,,,,,,,,,,,,
27,809812,814538,"28","L",,,,,,,,,,,,,
