Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,233988,237558,"1","L",0,114104,114104,"",0,514695,514695,"",0,63478,63478,"",
1,239258,242454,"2","R",,,,,,,,,,,,,
2,243678,251770,"3","L",,,,,,,,,,,,,
3,253606,259522,"4","L",,,,,,,,,,,,,
4,261188,264656,"5","R",,,,,,,,,,,,,
5,266798,270980,"6","R",,,,,,,,,,,,,
6,272748,275740,"7","L",,,,,,,,,,,,,
7,313888,317866,"8","R",,,,,,,,,,,,,
8,319566,323204,"9","L",,,,,,,,,,,,,
9,324972,329936,"10","L",,,,,,,,,,,,,
10,331568,339592,"11","R",,,,,,,,,,,,,
11,341768,349792,"12","L",,,,,,,,,,,,,
12,352104,354892,"13","L",,,,,,,,,,,,,
13,356966,361624,"14","L",,,,,,,,,,,,,
14,416772,420750,"15","L",,,,,,,,,,,,,
15,422552,425238,"16","L",,,,,,,,,,,,,
16,427142,430032,"17","L",,,,,,,,,,,,,
17,432718,437478,"18","R",,,,,,,,,,,,,
18,440096,442680,"19","R",,,,,,,,,,,,,
19,445400,450092,"20","L",,,,,,,,,,,,,
20,452506,456246,"21","R",,,,,,,,,,,,,
21,508266,511258,"22","L",,,,,,,,,,,,,
22,512584,519282,"23","R",,,,,,,,,,,,,
23,520880,524042,"24","L",,,,,,,,,,,,,
24,526048,530332,"25","R",,,,,,,,,,,,,
25,532372,536146,"26","L",,,,,,,,,,,,,
26,538084,542946,"27","L",,,,,,,,,,,,,
27,544306,547128,"28","R",,,,,,,,,,,,,
