Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,305524,319532,"1","R",0,171088,171088,"",0,629031,629031,"",0,24548,24548,"",
1,321436,333642,"2","R",,,,,,,,,,,,,
2,335206,340986,"3","R",,,,,,,,,,,,,
3,342856,347684,"4","L",,,,,,,,,,,,,
4,349520,355266,"5","R",,,,,,,,,,,,,
5,357408,361522,"6","R",,,,,,,,,,,,,
6,363664,373762,"7","R",,,,,,,,,,,,,
7,420308,424116,"8","R",,,,,,,,,,,,,
8,425782,429488,"9","L",,,,,,,,,,,,,
9,431222,437682,"10","R",,,,,,,,,,,,,
10,439552,448528,"11","R",,,,,,,,,,,,,
11,450840,457096,"12","R",,,,,,,,,,,,,
12,458490,466242,"13","R",,,,,,,,,,,,,
13,468010,473348,"14","R",,,,,,,,,,,,,
14,545190,556818,"15","L",,,,,,,,,,,,,
15,558926,569772,"16","L",,,,,,,,,,,,,
16,571778,578578,"17","L",,,,,,,,,,,,,
17,580312,588064,"18","R",,,,,,,,,,,,,
18,590546,594898,"19","L",,,,,,,,,,,,,
19,598502,602004,"20","L",,,,,,,,,,,,,
20,604180,611694,"21","L",,,,,,,,,,,,,
21,687310,690404,"22","L",,,,,,,,,,,,,
22,691764,696762,"23","L",,,,,,,,,,,,,
23,699210,704582,"24","L",,,,,,,,,,,,,
24,706928,713728,"25","L",,,,,,,,,,,,,
25,722058,730966,"26","R",,,,,,,,,,,,,
26,732768,752114,"27","L",,,,,,,,,,,,,
27,753610,757248,"28","L",,,,,,,,,,,,,
