Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,272612,275400,"1","L",0,141406,141406,"",0,526600,526600,"",0,40120,40120,"",
1,277814,289646,"2","L",,,,,,,,,,,,,
2,296140,300900,"3","L",,,,,,,,,,,,,
3,303144,306102,"4","R",,,,,,,,,,,,,
4,308346,314670,"5","R",,,,,,,,,,,,,
5,316880,318852,"6","L",,,,,,,,,,,,,
6,320960,323102,"7","L",,,,,,,,,,,,,
7,397698,400690,"8","L",,,,,,,,,,,,,
8,403342,404974,"9","L",,,,,,,,,,,,,
9,408306,410686,"10","L",,,,,,,,,,,,,
10,412862,414936,"11","L",,,,,,,,,,,,,
11,416976,419458,"12","R",,,,,,,,,,,,,
12,421464,423130,"13","L",,,,,,,,,,,,,
13,425476,428808,"14","L",,,,,,,,,,,,,
14,487696,492864,"15","L",,,,,,,,,,,,,
15,494700,498202,"16","R",,,,,,,,,,,,,
16,501228,503710,"17","L",,,,,,,,,,,,,
17,505750,517174,"18","L",,,,,,,,,,,,,
18,519656,523294,"19","R",,,,,,,,,,,,,
19,525402,528088,"20","R",,,,,,,,,,,,,
20,530094,532236,"21","L",,,,,,,,,,,,,
21,584052,587622,"22","R",,,,,,,,,,,,,
22,589322,592314,"23","L",,,,,,,,,,,,,
23,594388,597074,"24","R",,,,,,,,,,,,,
24,599386,602378,"25","R",,,,,,,,,,,,,
25,604486,606254,"26","L",,,,,,,,,,,,,
26,609008,611388,"27","R",,,,,,,,,,,,,
27,614584,616760,"28","L",,,,,,,,,,,,,
