Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,378420,381072,"1","L",0,269348,269348,"",0,414696,414696,"",0,31008,31008,"",
1,382670,384880,"2","R",,,,,,,,,,,,,
2,386954,390422,"3","R",,,,,,,,,,,,,
3,392428,394774,"4","R",,,,,,,,,,,,,
4,396746,399024,"5","L",,,,,,,,,,,,,
5,401098,403818,"6","R",,,,,,,,,,,,,
6,405484,407898,"7","R",,,,,,,,,,,,,
7,443054,445128,"8","R",,,,,,,,,,,,,
8,447270,449242,"9","R",,,,,,,,,,,,,
9,451418,458014,"10","R",,,,,,,,,,,,,
10,460428,463216,"11","L",,,,,,,,,,,,,
11,466412,469302,"12","R",,,,,,,,,,,,,
12,473518,476442,"13","R",,,,,,,,,,,,,
13,478550,480556,"14","L",,,,,,,,,,,,,
14,525572,529210,"15","R",,,,,,,,,,,,,
15,530672,533222,"16","L",,,,,,,,,,,,,
16,534854,539172,"17","R",,,,,,,,,,,,,
17,540974,543218,"18","L",,,,,,,,,,,,,
18,545156,551140,"19","L",,,,,,,,,,,,,
19,552908,556546,"20","R",,,,,,,,,,,,,
20,558076,560796,"21","R",,,,,,,,,,,,,
21,606390,608566,"22","R",,,,,,,,,,,,,
22,610402,613326,"23","R",,,,,,,,,,,,,
23,615434,618392,"24","R",,,,,,,,,,,,,
24,620432,624104,"25","L",,,,,,,,,,,,,
25,625600,628150,"26","R",,,,,,,,,,,,,
26,630088,632978,"27","L",,,,,,,,,,,,,
27,634474,637330,"28","R",,,,,,,,,,,,,
