Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,412862,415956,"1","L",0,251838,251838,"",0,535927,535927,"",0,44812,44812,"",
1,417554,422416,"2","L",,,,,,,,,,,,,
2,423776,427278,"3","R",,,,,,,,,,,,,
3,429114,432956,"4","R",,,,,,,,,,,,,
4,434826,440028,"5","L",,,,,,,,,,,,,
5,441830,445434,"6","L",,,,,,,,,,,,,
6,447270,450364,"7","R",,,,,,,,,,,,,
7,516800,519588,"8","R",,,,,,,,,,,,,
8,521288,528870,"9","R",,,,,,,,,,,,,
9,531386,533664,"10","L",,,,,,,,,,,,,
10,535296,538050,"11","L",,,,,,,,,,,,,
11,540192,544544,"12","R",,,,,,,,,,,,,
12,547332,548726,"13","R",,,,,,,,,,,,,
13,550834,552330,"14","L",,,,,,,,,,,,,
14,613938,618494,"15","R",,,,,,,,,,,,,
15,620228,625316,"16","L",,,,,,,,,,,,,
16,626722,631822,"17","L",,,,,,,,,,,,,
17,634100,636786,"18","R",,,,,,,,,,,,,
18,638656,642634,"19","R",,,,,,,,,,,,,
19,644742,650148,"20","L",,,,,,,,,,,,,
20,652086,654092,"21","L",,,,,,,,,,,,,
21,705262,707574,"22","R",,,,,,,,,,,,,
22,709172,711994,"23","L",,,,,,,,,,,,,
23,713286,716924,"24","L",,,,,,,,,,,,,
24,718692,721106,"25","R",,,,,,,,,,,,,
25,722772,725696,"26","R",,,,,,,,,,,,,
26,727396,732122,"27","L",,,,,,,,,,,,,
27,733788,735692,"28","L",,,,,,,,,,,,,
