Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,193324,198934,"1","L",0,91732,91732,"",0,404566,404566,"",0,35020,35020,"",
1,200430,205156,"2","L",,,,,,,,,,,,,
2,206414,208386,"3","R",,,,,,,,,,,,,
3,209984,214744,"4","R",,,,,,,,,,,,,
4,216376,218382,"5","L",,,,,,,,,,,,,
5,220252,221918,"6","L",,,,,,,,,,,,,
6,223720,225488,"7","R",,,,,,,,,,,,,
7,266968,271558,"8","L",,,,,,,,,,,,,
8,272748,274618,"9","R",,,,,,,,,,,,,
9,276386,278392,"10","L",,,,,,,,,,,,,
10,281622,285158,"11","L",,,,,,,,,,,,,
11,286722,288354,"12","R",,,,,,,,,,,,,
12,290088,293828,"13","R",,,,,,,,,,,,,
13,295290,296718,"14","L",,,,,,,,,,,,,
14,346460,348364,"15","R",,,,,,,,,,,,,
15,350200,351832,"16","L",,,,,,,,,,,,,
16,353532,357272,"17","L",,,,,,,,,,,,,
17,358360,360128,"18","R",,,,,,,,,,,,,
18,362576,364174,"19","R",,,,,,,,,,,,,
19,365772,367744,"20","L",,,,,,,,,,,,,
20,369682,373558,"21","L",,,,,,,,,,,,,
21,425544,427176,"22","R",,,,,,,,,,,,,
22,428740,430950,"23","L",,,,,,,,,,,,,
23,432344,434554,"24","L",,,,,,,,,,,,,
24,436390,439076,"25","R",,,,,,,,,,,,,
25,441116,444924,"26","R",,,,,,,,,,,,,
26,446760,449310,"27","L",,,,,,,,,,,,,
27,450908,454818,"28","L",,,,,,,,,,,,,
