Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,213622,218756,"1","L",0,96424,96424,"",0,463671,463671,"",0,26078,26078,"",
1,220014,223856,"2","R",,,,,,,,,,,,,
2,225454,228990,"3","R",,,,,,,,,,,,,
3,230146,232526,"4","R",,,,,,,,,,,,,
4,234430,0,"5","L",,,,,,,,,,,,,
5,238306,241400,"6","R",,,,,,,,,,,,,
6,242692,247486,"7","R",,,,,,,,,,,,,
7,284444,0,"8","R",,,,,,,,,,,,,
8,288694,291074,"9","R",,,,,,,,,,,,,
9,293522,308720,"10","R",,,,,,,,,,,,,
10,310590,315588,"11","R",,,,,,,,,,,,,
11,317424,322286,"12","R",,,,,,,,,,,,,
12,323918,326332,"13","R",,,,,,,,,,,,,
13,327930,331908,"14","L",,,,,,,,,,,,,
14,379576,388076,"15","L",,,,,,,,,,,,,
15,392326,396780,"16","L",,,,,,,,,,,,,
16,398854,404940,"17","R",,,,,,,,,,,,,
17,406878,409394,"18","R",,,,,,,,,,,,,
18,411196,414664,"19","R",,,,,,,,,,,,,
19,417520,423606,"20","L",,,,,,,,,,,,,
20,425374,427448,"21","L",,,,,,,,,,,,,
21,481950,485180,"22","R",,,,,,,,,,,,,
22,486948,490858,"23","L",,,,,,,,,,,,,
23,492898,495584,"24","L",,,,,,,,,,,,,
24,497930,501636,"25","L",,,,,,,,,,,,,
25,505580,508300,"26","L",,,,,,,,,,,,,
26,510714,518704,"27","L",,,,,,,,,,,,,
27,520506,522750,"28","L",,,,,,,,,,,,,
