Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01
0,247248,255646,1,L,0,278290,278290,,0,465703,465703,,0,208794,208794,
1,257108,260814,2,R,,,,,,,,,,,,
2,262038,264554,3,R,,,,,,,,,,,,
3,266084,268328,4,R,,,,,,,,,,,,
4,270130,272714,5,L,,,,,,,,,,,,
5,274278,276148,6,R,,,,,,,,,,,,
6,277746,282506,7,R,,,,,,,,,,,,
7,328950,331942,8,R,,,,,,,,,,,,
8,333404,335580,9,R,,,,,,,,,,,,
9,337688,340340,10,R,,,,,,,,,,,,
10,342278,347990,11,R,,,,,,,,,,,,
11,349554,355198,12,R,,,,,,,,,,,,
12,357000,359074,13,R,,,,,,,,,,,,
13,361182,363086,14,L,,,,,,,,,,,,
14,413848,417418,15,R,,,,,,,,,,,,
15,419084,422858,16,L,,,,,,,,,,,,
16,423776,431834,17,R,,,,,,,,,,,,
17,433772,437648,18,R,,,,,,,,,,,,
18,439246,442136,19,R,,,,,,,,,,,,
19,443700,447406,20,L,,,,,,,,,,,,
20,448766,451724,21,R,,,,,,,,,,,,
21,495618,498236,22,R,,,,,,,,,,,,
22,499800,501942,23,L,,,,,,,,,,,,
23,503370,506600,24,R,,,,,,,,,,,,
24,507926,514182,25,R,,,,,,,,,,,,
25,515712,518670,26,R,,,,,,,,,,,,
26,520438,523498,27,L,,,,,,,,,,,,
27,524756,527204,28,R,,,,,,,,,,,,
