Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,271524,287538,"1","L",0,124474,124474,"",0,600295,600295,"",0,54706,54706,"",
1,289680,298452,"2","R",,,,,,,,,,,,,
2,300458,310454,"3","R",,,,,,,,,,,,,
3,312630,318988,"4","L",,,,,,,,,,,,,
4,320076,323884,"5","L",,,,,,,,,,,,,
5,325958,329154,"6","L",,,,,,,,,,,,,
6,332214,334900,"7","L",,,,,,,,,,,,,
7,381378,398514,"8","L",,,,,,,,,,,,,
8,400486,408646,"9","L",,,,,,,,,,,,,
9,410380,415036,"10","L",,,,,,,,,,,,,
10,418336,422620,"11","L",,,,,,,,,,,,,
11,424490,429182,"12","R",,,,,,,,,,,,,
12,430984,434826,"13","R",,,,,,,,,,,,,
13,437070,440844,"14","R",,,,,,,,,,,,,
14,505240,510136,"15","R",,,,,,,,,,,,,
15,511530,514012,"16","L",,,,,,,,,,,,,
16,516052,520506,"17","R",,,,,,,,,,,,,
17,522886,526830,"18","R",,,,,,,,,,,,,
18,529074,532202,"19","R",,,,,,,,,,,,,
19,534718,538730,"20","L",,,,,,,,,,,,,
20,540668,543082,"21","L",,,,,,,,,,,,,
21,602140,608804,"22","R",,,,,,,,,,,,,
22,610130,613802,"23","R",,,,,,,,,,,,,
23,615978,618290,"24","R",,,,,,,,,,,,,
24,620602,624376,"25","L",,,,,,,,,,,,,
25,626756,629306,"26","R",,,,,,,,,,,,,
26,632128,638656,"27","L",,,,,,,,,,,,,
27,640220,642634,"28","L",,,,,,,,,,,,,
