Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,245582,247350,"1","L",0,118830,118830,"",0,579894,579894,"",0,45084,45084,"",
1,249050,252450,"2","R",,,,,,,,,,,,,
2,254252,257482,"3","L",,,,,,,,,,,,,
3,259148,261222,"4","L",,,,,,,,,,,,,
4,262990,278562,"5","L",,,,,,,,,,,,,
5,283084,286450,"6","L",,,,,,,,,,,,,
6,288218,291142,"7","L",,,,,,,,,,,,,
7,374136,378012,"8","R",,,,,,,,,,,,,
8,379780,383112,"9","L",,,,,,,,,,,,,
9,385016,392020,"10","R",,,,,,,,,,,,,
10,393584,396270,"11","R",,,,,,,,,,,,,
11,398480,400112,"12","L",,,,,,,,,,,,,
12,401778,404532,"13","L",,,,,,,,,,,,,
13,407184,409258,"14","L",,,,,,,,,,,,,
14,484330,488138,"15","R",,,,,,,,,,,,,
15,489532,494836,"16","L",,,,,,,,,,,,,
16,496740,502996,"17","R",,,,,,,,,,,,,
17,504356,522750,"18","L",,,,,,,,,,,,,
18,528428,537676,"19","L",,,,,,,,,,,,,
19,539240,542470,"20","L",,,,,,,,,,,,,
20,544102,546788,"21","L",,,,,,,,,,,,,
21,612374,614754,"22","L",,,,,,,,,,,,,
22,616590,618528,"23","L",,,,,,,,,,,,,
23,620262,622132,"24","L",,,,,,,,,,,,,
24,624002,626382,"25","L",,,,,,,,,,,,,
25,627912,629714,"26","L",,,,,,,,,,,,,
26,631516,635086,"27","L",,,,,,,,,,,,,
27,637228,644470,"28","L",,,,,,,,,,,,,
