Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,306136,308720,"1","L",0,196316,196316,"",0,493759,493759,"",0,40596,40596,"",
1,310862,313616,"2","R",,,,,,,,,,,,,
2,316030,319226,"3","R",,,,,,,,,,,,,
3,322728,324530,"4","R",,,,,,,,,,,,,
4,327250,329936,"5","L",,,,,,,,,,,,,
5,331908,333710,"6","R",,,,,,,,,,,,,
6,335716,337484,"7","R",,,,,,,,,,,,,
7,382160,393346,"8","R",,,,,,,,,,,,,
8,394944,396848,"9","R",,,,,,,,,,,,,
9,399466,402288,"10","R",,,,,,,,,,,,,
10,404634,413304,"11","R",,,,,,,,,,,,,
11,415650,421940,"12","R",,,,,,,,,,,,,
12,441592,444210,"13","R",,,,,,,,,,,,,
13,445978,451112,"14","L",,,,,,,,,,,,,
14,516324,527272,"15","L",,,,,,,,,,,,,
15,529856,534650,"16","R",,,,,,,,,,,,,
16,536214,542538,"17","L",,,,,,,,,,,,,
17,544034,550596,"18","R",,,,,,,,,,,,,
18,551854,555050,"19","L",,,,,,,,,,,,,
19,556988,562020,"20","R",,,,,,,,,,,,,
20,563686,565352,"21","L",,,,,,,,,,,,,
21,609382,611388,"22","L",,,,,,,,,,,,,
22,613700,615230,"23","R",,,,,,,,,,,,,
23,617406,619548,"24","L",,,,,,,,,,,,,
24,621656,623186,"25","R",,,,,,,,,,,,,
25,624988,626824,"26","L",,,,,,,,,,,,,
26,628524,630496,"27","L",,,,,,,,,,,,,
27,632264,634270,"28","R",,,,,,,,,,,,,
