Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,238510,241604,"1","R",0,113390,113390,"",0,426288,426288,"",0,38998,38998,"",
1,243508,245582,"2","R",,,,,,,,,,,,,
2,247350,250512,"3","L",,,,,,,,,,,,,
3,252484,254660,"4","L",,,,,,,,,,,,,
4,256292,257686,"5","R",,,,,,,,,,,,,
5,260100,262548,"6","R",,,,,,,,,,,,,
6,264214,269450,"7","L",,,,,,,,,,,,,
7,311270,313650,"8","R",,,,,,,,,,,,,
8,316234,317526,"9","L",,,,,,,,,,,,,
9,319668,321368,"10","R",,,,,,,,,,,,,
10,323170,327080,"11","R",,,,,,,,,,,,,
11,328406,329800,"12","L",,,,,,,,,,,,,
12,331636,333710,"13","R",,,,,,,,,,,,,
13,335342,337178,"14","R",,,,,,,,,,,,,
14,389708,391272,"15","R",,,,,,,,,,,,,
15,393278,395114,"16","L",,,,,,,,,,,,,
16,396984,399500,"17","L",,,,,,,,,,,,,
17,401098,402220,"18","R",,,,,,,,,,,,,
18,404498,405620,"19","T",,,,,,,,,,,,,
19,408000,409326,"20","L",,,,,,,,,,,,,
20,411366,412964,"21","L",,,,,,,,,,,,,
21,451690,452744,"22","L",,,,,,,,,,,,,
22,454682,456552,"23","R",,,,,,,,,,,,,
23,458048,460462,"24","R",,,,,,,,,,,,,
24,462570,465018,"25","L",,,,,,,,,,,,,
25,466446,467704,"26","R",,,,,,,,,,,,,
26,470050,471716,"27","L",,,,,,,,,,,,,
27,473382,476098,"28","L",,,,,,,,,,,,,
