Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,190672,196690,"1","L",0,167042,167042,"",0,447975,447975,"",0,102612,102612,"",
1,198390,203694,"2","R",,,,,,,,,,,,,
2,205972,211514,"3","R",,,,,,,,,,,,,
3,213384,215730,"4","R",,,,,,,,,,,,,
4,218246,221646,"5","L",,,,,,,,,,,,,
5,223244,231098,"6","L",,,,,,,,,,,,,
6,233036,240108,"7","L",,,,,,,,,,,,,
7,296480,299846,"8","L",,,,,,,,,,,,,
8,301410,304368,"9","L",,,,,,,,,,,,,
9,306340,308652,"10","L",,,,,,,,,,,,,
10,310454,312494,"11","L",,,,,,,,,,,,,
11,314534,316336,"12","R",,,,,,,,,,,,,
12,318070,321980,"13","L",,,,,,,,,,,,,
13,323374,325992,"14","L",,,,,,,,,,,,,
14,378760,382330,"15","R",,,,,,,,,,,,,
15,384540,386546,"16","L",,,,,,,,,,,,,
16,388348,396338,"17","L",,,,,,,,,,,,,
17,398004,399840,"18","L",,,,,,,,,,,,,
18,402084,405382,"19","R",,,,,,,,,,,,,
19,407320,409496,"20","L",,,,,,,,,,,,,
20,411400,414426,"21","L",,,,,,,,,,,,,
21,455090,460156,"22","R",,,,,,,,,,,,,
22,461924,465698,"23","L",,,,,,,,,,,,,
23,467398,475014,"24","L",,,,,,,,,,,,,
24,476952,480318,"25","R",,,,,,,,,,,,,
25,482766,485622,"26","R",,,,,,,,,,,,,
26,487696,490382,"27","L",,,,,,,,,,,,,
27,492728,497182,"28","R",,,,,,,,,,,,,
