Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,238544,240516,"1","L",0,121686,121686,"",0,466255,466255,"",0,48348,48348,"",
1,242250,244596,"2","R",,,,,,,,,,,,,
2,246602,254422,"3","L",,,,,,,,,,,,,
3,256224,262208,"4","R",,,,,,,,,,,,,
4,263670,269382,"5","R",,,,,,,,,,,,,
5,271354,275366,"6","R",,,,,,,,,,,,,
6,277032,280568,"7","L",,,,,,,,,,,,,
7,316540,322592,"8","R",,,,,,,,,,,,,
8,324734,327148,"9","L",,,,,,,,,,,,,
9,328712,331908,"10","R",,,,,,,,,,,,,
10,333574,338402,"11","R",,,,,,,,,,,,,
11,340170,343162,"12","L",,,,,,,,,,,,,
12,344862,350846,"13","R",,,,,,,,,,,,,
13,352274,354654,"14","L",,,,,,,,,,,,,
14,414460,418472,"15","L",,,,,,,,,,,,,
15,419628,423504,"16","R",,,,,,,,,,,,,
16,424932,429114,"17","R",,,,,,,,,,,,,
17,430576,434962,"18","L",,,,,,,,,,,,,
18,436458,440470,"19","L",,,,,,,,,,,,,
19,442034,446386,"20","R",,,,,,,,,,,,,
20,447610,450568,"21","L",,,,,,,,,,,,,
21,491334,495822,"22","R",,,,,,,,,,,,,
22,497148,500242,"23","L",,,,,,,,,,,,,
23,502146,504968,"24","R",,,,,,,,,,,,,
24,507450,514964,"25","L",,,,,,,,,,,,,
25,516392,520234,"26","R",,,,,,,,,,,,,
26,522104,525096,"27","L",,,,,,,,,,,,,
27,526660,531420,"28","R",,,,,,,,,,,,,
