Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,249084,253776,"1","L",0,486948,486948,"",0,429087,429087,"",0,380630,380630,"",
1,255646,258196,"2","L",,,,,,,,,,,,,
2,259998,264520,"3","R",,,,,,,,,,,,,
3,266186,269892,"4","L",,,,,,,,,,,,,
4,271286,274414,"5","L",,,,,,,,,,,,,
5,276046,278290,"6","L",,,,,,,,,,,,,
6,280126,282302,"7","L",,,,,,,,,,,,,
7,331500,334900,"8","L",,,,,,,,,,,,,
8,336362,338096,"9","L",,,,,,,,,,,,,
9,340000,341666,"10","L",,,,,,,,,,,,,
10,343468,344794,"11","L",,,,,,,,,,,,,
11,346868,350812,"12","R",,,,,,,,,,,,,
12,352546,354892,"13","L",,,,,,,,,,,,,
13,356830,360298,"14","L",,,,,,,,,,,,,
14,416908,420478,"15","R",,,,,,,,,,,,,
15,421974,425646,"16","L",,,,,,,,,,,,,
16,427244,429318,"17","L",,,,,,,,,,,,,
17,431256,434010,"18","L",,,,,,,,,,,,,
18,435472,440572,"19","R",,,,,,,,,,,,,
19,441762,443734,"20","L",,,,,,,,,,,,,
20,445434,447372,"21","L",,,,,,,,,,,,,
21,496876,500140,"22","R",,,,,,,,,,,,,
22,501942,505716,"23","L",,,,,,,,,,,,,
23,507008,509048,"24","L",,,,,,,,,,,,,
24,510476,513162,"25","L",,,,,,,,,,,,,
25,514454,516256,"26","L",,,,,,,,,,,,,
26,518058,519860,"27","L",,,,,,,,,,,,,
27,521458,524212,"28","L",,,,,,,,,,,,,
