Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,271082,276318,"1","L",0,649808,649808,"",0,647526,647526,"",0,578884,578884,"",
1,279004,284342,"2","L",,,,,,,,,,,,,
2,285668,289306,"3","R",,,,,,,,,,,,,
3,291754,294304,"4","R",,,,,,,,,,,,,
4,297568,300662,"5","L",,,,,,,,,,,,,
5,302498,308550,"6","L",,,,,,,,,,,,,
6,310590,314126,"7","L",,,,,,,,,,,,,
7,365636,371586,"8","L",,,,,,,,,,,,,
8,373796,385628,"9","R",,,,,,,,,,,,,
9,389028,395284,"10","L",,,,,,,,,,,,,
10,397800,400316,"11","L",,,,,,,,,,,,,
11,402288,407524,"12","R",,,,,,,,,,,,,
12,409598,417248,"13","R",,,,,,,,,,,,,
13,421158,425952,"14","L",,,,,,,,,,,,,
14,498134,503982,"15","R",,,,,,,,,,,,,
15,506940,511666,"16","L",,,,,,,,,,,,,
16,513638,517310,"17","L",,,,,,,,,,,,,
17,519520,527340,"18","R",,,,,,,,,,,,,
18,532644,537064,"19","R",,,,,,,,,,,,,
19,540430,544408,"20","L",,,,,,,,,,,,,
20,546210,550324,"21","L",,,,,,,,,,,,,
21,621146,629374,"22","R",,,,,,,,,,,,,
22,630870,637296,"23","L",,,,,,,,,,,,,
23,638486,642396,"24","L",,,,,,,,,,,,,
24,644912,654874,"25","R",,,,,,,,,,,,,
25,656676,661130,"26","R",,,,,,,,,,,,,
26,663374,674764,"27","L",,,,,,,,,,,,,
27,676226,680782,"28","R",,,,,,,,,,,,,
